region,start,len,hash,x_pos,y_pos,width_box,height_box,fg_color,bg_color,text

# INTRO
# あるあさ、めざめるとせかいは<$0A>いっぺんしていた！
VRAM,20,B00,C60D9398DC7F46FCEF2B20BFF44D441F8D873A9FDCD1AF4E98CEEEC3144E1575,5,115,230,40,#FFFFFFFF,#FF00ADD6,One morning I woke up and the world\nhad totally changed!
VRAM,20,B00,FBAABAED23E0C3E9617D161C2D0E1CC56BC70870D65B7AE22986A0D344EBD365,5,115,230,40,#FFFFFFFF,#FF00ADD6,Hammer secretly self-published\nan autobiography 
VRAM,20,B00,63775E32F28F434AFF86B9C8BB26A2FBF400891E6C4CF6560C83580809070A19,5,115,230,40,#FFFFFFFF,#FF00ADD6,called "The Naked Hammer\n(The world that can't understand me
VRAM,20,B00,CCE6CAA85208C561A80797101C78CDEB8A5B0FAA714D37A20D1A4581034A62AC,5,115,230,40,#FFFFFFFF,#FF00ADD6,is just lame)" and\ndistributed it all over town.
VRAM,20,B00,FC6AFA93F3FAE18BA123F23216749AE458A6FE2B083D7F187C1C1114EFF80D1D,5,115,230,40,#FFFFFFFF,#FF00ADD6,(Mostly posted on pillars\nnear the school gates
VRAM,20,B00,87EBEF6397225492506D6820E01B6F28392EDD607936F26A97B1EA29416EECF3,5,115,230,40,#FFFFFFFF,#FF00ADD6,along with yellow boxes.)
VRAM,20,B00,74BDED49D587CE966DF15C1AE9EDAB3231768E721EE8EE70439F80D82571BCBF,5,115,230,40,#FFFFFFFF,#FF00ADD6,There were surprisingly quite a few\npeople with too much free time.
VRAM,20,B00,D5C5E8F14B047149987368F099631711A9010CB1B796CC92F499C1A05BE1130B,5,115,230,40,#FFFFFFFF,#FF00ADD6,Some of them actually\nread that shady book!!
VRAM,20,B00,87A8C7DF81285295B5EC0492D356FCFD7A41C278673BB2009501BC8C8BD3124D,5,115,230,40,#FFFFFFFF,#FF00ADD6,Seeing Hammer's raw, honest\nloser lifestyle laid bare
VRAM,20,B00,D790336D470E243DDB0918D0C7F9F84DB72E01BDE8377EEC55D7A4F90802F3C3,5,115,230,40,#FFFFFFFF,#FF00ADD6,Those bored folks lost their\nsense of reality - total madness!
VRAM,20,B00,187E005F33DC0743DCE3C0A9D6BBEAA1470C5F5029926A5D4B4ED688D76BA400,5,115,230,40,#FFFFFFFF,#FF00ADD6,They began to revere Hammer\nas their master.
VRAM,20,B00,3851E370F3C8482EF998DC6A0CB79753CE77DA12AB180CF212B38CCF6F38B2F4,5,115,230,40,#FFFFFFFF,#FF00ADD6,The bored masses\nturned into hopeless losers.
VRAM,20,B00,5D6A96D77E47549F7189A794B3BD3E7C62278E4B9108AC5D6323FDD2D067D923,5,115,230,40,#FFFFFFFF,#FF00ADD6,Through a powerful loser\nnetwork
VRAM,20,B00,194196AB7ACCD519B0ECBC6726E3BAA0FE4F7866636CDBBBC9C8C9F5404E84F1,5,115,230,40,#FFFFFFFF,#FF00ADD6,they started passing it around,\nand before long, the world…
VRAM,20,B00,DB03451652061879C068D0C839A966F15D8C3F1D14998479E460B62866041A74,5,115,230,40,#FFFFFFFF,#FF00ADD6,…became a society of losers\nwho saw Hammer as their guru!!
VRAM,20,B00,99F33BAE2DE89340B194422586CDC2089DC09D50537E6C8605E3C27949619F4C,5,115,230,40,#FFFFFFFF,#FF00ADD6,Hammer, popular once again,\nROCKETED TO FAME!!!!!!
VRAM,20,B00,A02C6AE5E56FCEB6DF5FF65A53668A601DCE6F5215548E2BC59AD698ADE77DC3,5,115,230,40,#FFFFFFFF,#FF00ADD6,The way he let it all go to his\nhead, his song became a hit,
VRAM,20,B00,B7EC6EB61CECC620464F778C94F5CF16EBF30E338617152AE812DB41B4C7647D,5,115,230,40,#FFFFFFFF,#FF00ADD6,bigger than anything at the time!!
VRAM,20,B00,D57A65BAD95CBFD3848EA237B787A0A5B1163D7F88003E6A524E2E9E8E8CEE06,5,115,230,40,#FFFFFFFF,#FF00ADD6,At this rate, Earth itself\nis in danger!!
VRAM,20,B00,2982D1F84BE134B3536ED31CB99EFD0469287C976E7B5DBC1123EE96D5B1F753,5,115,230,40,#FFFFFFFF,#FF00ADD6,This is the story of the heroes\nwho rose up to return the world
VRAM,20,B00,B277532A5460A4DC7BADB3BE76E4A36EE3011984C20130BF27F8E8FD3571CAE2,5,115,230,40,#FFFFFFFF,#FF00ADD6,to its normal, peaceful state…\na tale of their journey.



